run_id,dataset_id,method_id,noise_condition_id,noise_sigma,replication_id,perturbation_seed,data_seed,status,scientific_evidence_eligible,primary_stability_eligible,bottleneck_distance,wasserstein_distance,coverage_fraction,n_nodes,n_edges,n_components,beta_0_graph,beta_1_graph,beta_0_nerve,beta_1_nerve,wall_time_seconds,cpu_time_seconds
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep30__4f719dd5a28ea5f2,swiss_roll_with_hole,conventional,sigma_0.01,0.01,30,481842291.0,42,success,True,True,0.2019856036410772,0.6050430588153359,0.9544846050870147,140.0,60.0,80.0,80.0,0.0,80.0,0.0,0.04213631800030271,0.04207275499999241
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep30__f0865c6325c5898f,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,30,481842291.0,42,success,True,True,0.3928667225611555,0.7409318834674927,0.9544846050870147,125.0,45.0,80.0,80.0,0.0,80.0,0.0,5.748876313999972,5.745377205000011
M6A2__swiss_roll_with_hole__conventional__sigma_0.03__rep1__aee0851470d1801a,swiss_roll_with_hole,conventional,sigma_0.03,0.03,1,1140744981.0,42,success,True,True,0.6066762702368145,2.3791776827200968,0.9518072289156626,142.0,61.0,81.0,81.0,0.0,81.0,0.0,0.037016877000496606,0.03692716399999085
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.03__rep1__3c16f78bd46917df,swiss_roll_with_hole,f_mapper,sigma_0.03,0.03,1,1140744981.0,42,success,True,True,0.32456117936484663,1.461159363692369,0.9518072289156626,128.0,47.0,81.0,81.0,0.0,81.0,0.0,5.175582890999976,5.174599293999989
M6A2__swiss_roll_with_hole__conventional__sigma_0.03__rep2__c6976a19e1139fcd,swiss_roll_with_hole,conventional,sigma_0.03,0.03,2,974386918.0,42,success,True,True,0.2960523384656568,2.4133015411812027,0.9526996876394467,136.0,54.0,82.0,82.0,0.0,82.0,0.0,0.029847083000277053,0.02984064499997885
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.03__rep2__a881437d060f49b2,swiss_roll_with_hole,f_mapper,sigma_0.03,0.03,2,974386918.0,42,success,True,True,0.5946989374987677,3.165815283119858,0.9526996876394467,126.0,44.0,82.0,82.0,0.0,82.0,0.0,5.246395303999634,5.245496343000013
M6A2__swiss_roll_with_hole__conventional__sigma_0.03__rep3__7f8c3cbab7ecab3d,swiss_roll_with_hole,conventional,sigma_0.03,0.03,3,312135440.0,42,success,True,True,0.40035805387188894,3.008774467780672,0.9518072289156626,138.0,57.0,81.0,81.0,0.0,81.0,0.0,0.02972085999954288,0.029719396999979608
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.03__rep3__af2a0c54e7da2b29,swiss_roll_with_hole,f_mapper,sigma_0.03,0.03,3,312135440.0,42,success,True,True,0.6060900060350924,3.076138495950288,0.9518072289156626,125.0,44.0,81.0,81.0,0.0,81.0,0.0,5.2338132620006945,5.233278364
M6A2__swiss_roll_with_hole__conventional__sigma_0.03__rep4__9917499861cd0299,swiss_roll_with_hole,conventional,sigma_0.03,0.03,4,758771508.0,42,success,True,True,0.40086742789288365,2.249497638943093,0.9513609995537706,135.0,59.0,76.0,76.0,0.0,76.0,0.0,0.029821623999851,0.029818513999998686
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.03__rep4__e82ab45d0a116341,swiss_roll_with_hole,f_mapper,sigma_0.03,0.03,4,758771508.0,42,success,True,True,0.5808598035806192,3.813805858938634,0.9513609995537706,123.0,47.0,76.0,76.0,0.0,76.0,0.0,5.085680786000012,5.085132700999992
